symbol,campaign_id,unit_no,fill_date,fill_time,fill_tz,fill_price,shares,trade_n,exit_date,exit_price,note
# ↑ 헤더는 그대로 두고, 아래에 실제 체결을 한 줄=한 유닛 으로 입력하세요. 맨 앞이 # 인 줄은 무시됩니다.
# 규칙:
#  - campaign_id: 한 종목의 한 번의 진입~전량청산을 묶는 이름(예: AAPL-2026-09). 같은 캠페인 유닛은 같은 값.
#  - unit_no: 1,2,3,4 (유닛 번호). 종목당 최대 4.
#  - fill_date: 체결일 YYYY-MM-DD.
#  - fill_time/fill_tz: '오늘' 체결한 유닛은 시각(HH:MM:SS)과 시간대 필수(예: America/New_York). 과거일 체결은 비워도 됨.
#  - fill_price: 실제 체결가. shares: 수량.
#  - trade_n: 그 캠페인의 N(변동성). 반드시 입력. 비우면 그 종목은 ' N 입력 필요'로 알림 안 나감(임의추정 안 함).
#  - 유닛을 매도하면 그 유닛 '행'에 exit_date, exit_price 를 채웁니다(새 행 추가 아님). 그러면 그 유닛은 알림 대상에서 빠짐.
#  - 실제 보유정보는 공개 저장소/로그에 올리지 않습니다. 이 파일은 로컬에만 두세요(.gitignore 처리됨).
#
# 예시(맨 앞 # 떼면 실제 입력):
# AAPL,AAPL-2026-09,1,2026-09-15,,,230.50,43,4.85,,,1유닛 진입(과거일=시각 생략 가능)
# AAPL,AAPL-2026-09,2,2026-09-16,10:32:00,America/New_York,235.35,42,4.85,,,추가매수(오늘 체결=시각·시간대 필수)
# NVDA,NVDA-2026-09,1,2026-09-10,,,178.20,55,6.10,2026-09-15,171.00,손절 매도됨(이 유닛은 알림 제외, 인상이력은 보존)
